Segment#, Chi-Squared,  N,  Norm,  Norm-Chi-Squared 
1,2518.17,44,0.986728,
2,138.946,32,1.01975,
3,1616.35,60,1.00864,
4,438.098,32,1.18697,
5,1547.01,18,1.15518,
6,5267.09,75,1.24787,
7,2548.37,34,0.999832,
8,232.646,50,1.26103,
9,161.882,67,1.13456,
10,19.8941,7,0.897077,
11,13.2981,11,1.36275,
12,51.1426,12,1.20421,
13,792.731,80,1.26193,
14,646.959,80,1.38368,
15,670.397,81,1.27679,
Total-Chi-Squared: 16663 Total-Norm-Chi-Squared: 15 Total-N: 683

